name,address,locality,coordinates.latitude+,coordinates.longitude+,hours.sun,hours.mon,hours.tue,hours.wed,hours.thu,hours.fri,hours.sat
Cosmopolitan Restaurant and Hotel,"2660 Calhoun St, San Diego 92110",Old Town,32.75438,-117.196063,,,,,,,
Cotija Taco Shop,"8300 Paradise Valley Rd, Spring Valley 91977",Spring Valley,32.697587,-117.021093,,,,,,,
Cotija's Cocina Mexicana,"3720 Voltaire Street, San Diego 92107",Point Loma,32.740424,-117.229245,,,,,,,
Cotijas Mexican Food,"10645 Tierrasanta Boulevard, San Diego 92124",Tierrasanta,32.8224646,-117.0997378,,,,,,,
Cotijas Mexican Food,"7695 Broadway, Lemon Grove 91945",Lemon Grove,32.742463,-117.032334,,,,,,,
Cotija's Mexican Food,"17090 Bernardo Center Dr, San Diego 92128",Rancho Bernardo,33.024574,-117.074624,,,,,,,
Cotijas Mexican Grill,"3066 Clairemont Dr, San Diego 92117",Bay Park,32.796312,-117.193437,,,,,,,
Cotijas Mexican Grill,"9335 Paseo Montalban, San Diego 92129",Rancho Penasquitos,32.959026,-117.125725,,,,,,,
Cotija's Taco Shop,"7285 Navajo Rd, San Diego 92119",San Carlos,32.804088,-117.038631,,,,,,,
Cotija's Taco Shop,"4444 Bonita Rd, Bonita 91902",Bonita,32.6605068,-117.0338603,,,,,,,
Cotixan,"3720 Camino Del Rio North, San Diego 92108",Serra Mesa,32.780604,-117.113902,,,,,,,
Cotixan Mexican & Seafood,"3250 Greyling Dr, San Diego 92123",Serra Mesa,32.80214,-117.139891,,,,,,,
Cotixan Mexican and seafood,"4676 Clairemont Mesa Blvd, San Diego 92117",Clairemont,32.834736,-117.189829,,,,,,,
Cotixan Mexican and seafood,"4370 Genesee Ave, San Diego 92117",Clairemont,32.822614,-117.184033,,,,,,,
Cotixan Mexican Food,"8110 Mira Mesa Blvd, San Diego 92126",Mira Mesa,32.912717,-117.148828,,,,,,,
Curadero,"1047 Fifth Avenue, Suite 100, San Diego 92101",East Village,32.716232,-117.159864,,,,,,,
Del Rio Deli,"2815 Camino Del Rio S, San Diego 92108",North Park,32.769474,-117.136728,,,,,,,
Del Taco,"1155 B Street, San Diego 92101",East Village,32.717663,-117.154217,,,,,,,
Del Taco,"3106 Sports Arena Boulevard, San Diego 92110",Point Loma,32.7521751,-117.2051024,,,,,,,
Del Taco,"7919 Mission Center Road, San Diego 92108",Mission Valley,32.7733712,-117.1537178,,,,,,,
Del Taco,"2804 Main Street, San Diego 92113",Barrio Logan,32.693105,-117.13334,,,,,,,
Del Taco,"3896 Clairemont Drive, San Diego 92117",Bay Park,32.8113262,-117.2013216,,,,,,,
Del Taco,"7060 Broadway, Lemon Grove 91945",Lemon Grove,32.7428219,-117.046059,,,,,,,
Del Taco,"1605 E Valley Parkway, Escondido 92027",Escondido,33.133683,-117.058773,,,,,,,
Delicias Taco Shop,"1212 S 43rd St, San Diego 92113",Mountain View,32.693907,-117.102781,,,,,,,
Denali's Pizza,"13158 Poway Rd, Poway 92064",Poway,32.956737,-117.045933,,,,,,,
Dis Frutas,"3647 University Ave, San Diego 92104",City Heights East,32.7497189,-117.1144976,,,,,,,
Don Carlos Taco Shop,"737 Pearl Street, La Jolla 92037",La Jolla,32.839715,-117.275139,,,,,,,
Don Chido,"527 5th Avenue, San Diego 92101",Gaslamp,32.7108459,-117.1599949,,,,,,,
Don Chuy,"650 Valley Ave, Solana Beach 92075",Solana Beach,32.988,-117.258335,,,,,,,
Don Diegos,"4421 Genesee Ave, San Diego 92117",Clairemont,32.824409,-117.184317,,,,,,,
Don Felix Cafe,"143 W San Ysidro Blvd, San Ysidro 92173",San Ysidro,32.553061,-117.045896,,,,,,,
Don Guero's Mexican Food,"1850 Coronado Ave Ste 401, San Diego 92154",Egger Highlands,32.576523,-117.093757,,,,,,,
Don Lucio's Mexican Grill,"2360 Paseo De Las Americas, San Diego 92154",Otay Mesa West,32.554826,-116.936406,,,,,,,
Don Lucio's Taco Shop,"2470 Roll Dr, San Diego 92154",Otay Mesa West,32.553531,-116.937562,,,,,,,
Don Pollo,"13338 Poway Rd, Poway 92064",Poway,32.9565179,-117.0417327,,,,,,,
Dos Brasas Taco Shop,"1890 San Diego Ave, San Diego 92110",Mission Hills,32.744828,-117.185398,,,,,,,
Dos Panchos,"2511 Coronado Ave, San Diego 92154",Otay Mesa West,32.576363,-117.079366,,,,,,,
Dos Primos Taco Shop,"3082 Fairmount Ave, San Diego 92105",City Heights East,32.738543,-117.10139,,,,,,,
D'Sotos Mexican Food,"8155 Mira Mesa Blvd, San Diego 92126",Mira Mesa,32.9109736,-117.1475394,,,,,,,
Eiberto's Taco Shop,"111 S Meadowbrook Dr, San Diego 92114",Paradise Hills,32.702343,-117.030501,,,,,,,
El Agave,"2304 San Diego Ave, San Diego 92110",Mission Hills,32.749534,-117.192266,,,,,,,
El Amigo Mexican Food,"1004 Palm Ave, Imperial Beach 91932",Imperial Beach,32.5839792,-117.1113875,,,,,,,
El Armandos,"13095 Poway Rd, Poway 92064",Poway,32.956363,-117.047304,,,,,,,
El Azteca Taco Shop,"8306 Pkwy Dr, La Mesa 91942",La Mesa,32.778595,-117.018117,,,,,,,
El Borrego,"4280 El Cajon Blvd, San Diego 92105",Kensington,32.755337,-117.102382,,,,,,,
El Camino Super Cocina Mexicana,"2400 India Street, San Diego 92101",Little Italy,32.729376,-117.170811,,,,,,,
El Carrito,"2154 Logan Ave, San Diego 92113",Barrio Logan,32.69866,-117.139979,,,,,,,
El Charko Grill & Bar,"2415 San Diego Ave, San Diego 92110",Old Town,32.7518908,-117.1940797,,,,,,,
El Charro,"2175 Avenida De La Playa, La Jolla 92037",La Jolla,32.853628,-117.255991,,,,,,,
El Chentin,"2121 Imperial Ave, San Diego 92102",Logan Heights/Sherman Heights,32.706163,-117.144614,,,,,,,
El Chila Mexican Food,"1753 Palm Ave, San Diego 92154",Egger Highlands,32.583663,-117.095894,,,,,,,
El Cilantro,"764 13th Street, Imperial Beach 91932",Imperial Beach,32.5828307,-117.1057418,,,,,,,
El Comal,"2822 Imperial Ave, San Diego 92102",Logan Heights/Sherman Heights,32.706537,-117.133408,,,,,,,
El Comal Bar and Grill,"3946 Illinois Street, San Diego 92104",North Park,32.749347,-117.127862,,,,,,,
El Compadre Taco Shop,"7327 University Ave, La Mesa 91941",La Mesa,32.755978,-117.039569,,,,,,,
El Cora Mexican Food,"8415 Paradise Valley Rd, Spring Valley 91977",Spring Valley,32.697653,-117.017607,,,,,,,
El Cuervo Taco Shop,"110 W Washington Street, San Diego 92103",Hillcrest,32.750137,-117.164141,,,,,,,
El Faro,"2249 Imperial Ave, San Diego 92102",Logan Heights/Sherman Heights,32.706163,-117.143206,,,,,,,
El Gran Taco,"5059 Federal Blvd, San Diego 92102",Oak Park,32.721263,-117.086081,,,,,,,
El Guero 2,"2455 Otay Center Drive,Suite 114, San Diego 92154",Otay Mesa West,32.555478,-116.941229,,,,,,,
El Guero Taco Shop,"2036 Dairy Mart Rd, San Diego 92173",San Ysidro,32.560592,-117.0634302,,,,,,,
El Indio Mexican Restaurant,"3695 India St, San Diego 92103",Mission Hills,32.7423208,-117.1802455,,,,,,,
El Jacalito Grill,"4252 Bonita Rd, Bonita 91902",Bonita,32.6605612,-117.034235,,,,,,,
El Jalapeño,"482 W San Ysidro Blvd, San Ysidro 92173",San Ysidro,32.555867,-117.053715,,,,,,,
El Maguey,"13319 Poway Rd, Poway 92064",Poway,32.956263,-117.042186,,,,,,,
El Mango Manila,"2204 Dairy Mart Rd, San Ysidro 92173",San Ysidro,32.556592,-117.062571,,,,,,,
El Nueva Milenio Taco Shop,"2323 E Division St, National City 91950",National City,32.689353,-117.086179,,,,,,,
El Paisa,"3096 National Ave., San Diego 92113",Logan Heights/Sherman Heights,32.696103,-117.127561,,,,,,,
El Paisa,"4687 Logan Ave, San Diego 92113",Mountain View,32.696663,-117.094176,,,,,,,
